Primary Org Id,Primary Org Name,Country Name,ROR ID
60000009,Villanova University,United States,https://ror.org/02g7kd627
60000011,Saitama Institute of Technology,Japan,https://ror.org/01pkeax38
60000015,Lusófona University,Portugal,https://ror.org/05xxfer42
60000021,Atatürk Üniversitesi,Turkey,https://ror.org/03je5c526
60000027,KLA Corporation,United States,https://ror.org/04zdyxh40
60000036,Universidade Federal do Rio de Janeiro,Brazil,https://ror.org/03490as77
60000050,Royal College of Surgeons in Ireland,Ireland,https://ror.org/01hxy9878
60000056,Siberian State University of Telecommunications and Informatics Science,Russian Federation,https://ror.org/019vbp610
60000060,Lehigh University,United States,https://ror.org/012afjb06
60000061,Sant Gadge Baba Amravati University,India,https://ror.org/05s8p6g93
60000062,Qinghai Institute of Salt Lakes,China,https://ror.org/03jmw7514
60000071,Calvin University,United States,https://ror.org/05r0q9p84
60000078,Guru Nanak Dev University,India,https://ror.org/05ghzpa93
60000081,Irkutsk State University,Russian Federation,https://ror.org/01j99nc54
60000082,National University of Ireland,Ireland,https://ror.org/00shsf120
60000086,HZDR - Helmholtz-Zentrum Dresden-Rossendorf,Germany,https://ror.org/01zy2cs03
60000087,Hadassah University Medical Centre,Israel,https://ror.org/01cqmqj90
60000099,Ibaraki University,Japan,https://ror.org/00sjd5653
60000100,Institut Municipal d'Investigacio Medica,Spain,https://ror.org/037xbgq12
60000102,Fisk University,United States,https://ror.org/01bbs6821
60000108,Observatoire Astronomique de Strasbourg,France,https://ror.org/04xsj2p07
60000112,University of East Anglia,United Kingdom,https://ror.org/026k5mg93
60000130,Universidad de Murcia,Spain,https://ror.org/03p3aeb86
60000131,National Defence and the Canadian Forces,Canada,https://ror.org/03z2x5890
60000134,Langara College,Canada,https://ror.org/05qp50e50
60000135,University of North Florida,United States,https://ror.org/01j903a45
60000137,"Postgraduate Institute of Medical Education & Research, Chandigarh",India,https://ror.org/02ps8wg39
60000139,Tuen Mun Hospital,China,https://ror.org/018nkky79
60000141,Monmouth College,United States,https://ror.org/03rbn9086
60000142,Konkuk University,South Korea,https://ror.org/025h1m602
60000144,Bowdoin College,United States,https://ror.org/03gh96r95
60000145,Université Libre de Bruxelles,Belgium,https://ror.org/01r9htc13
60000153,Bishop's Université,Canada,https://ror.org/051prj435
60000159,Yazd University,Iran,https://ror.org/02x99ac45
60000161,CSIC - Estación Experimental de Zonas Áridas (EEZA),Spain,https://ror.org/01hq59z49
60000163,"International Institute of Information Technology, Hyderabad",India,https://ror.org/05f11g639
60000164,Troy University,United States,https://ror.org/029jj9438
60000174,Shaanxi Normal University,China,https://ror.org/0170z8493
60000179,École Normale Supérieure,France,https://ror.org/01dp7jr64
60000190,Walmart Inc.,United States,https://ror.org/01ts0we02
60000195,Groupe Hospitalier Paris Saint-Joseph,France,https://ror.org/046bx1082
60000196,Chengdu University of Traditional Chinese Medicine,China,https://ror.org/00pcrz470
60000202,Ryukoku University,Japan,https://ror.org/012tqgb57
60000203,Royal Netherlands Meteorological Institute,Netherlands,https://ror.org/05dfgh554
60000210,Japan Weather Association,Japan,https://ror.org/04e1a9m96
60000213,Rhodes College,United States,https://ror.org/049xfwy04
60000221,University of Colorado Boulder,United States,https://ror.org/02ttsq026
60000231,Süleyman Demirel Üniversitesi,Turkey,https://ror.org/04fjtte88
60000237,University of Bahrain,Bahrain,https://ror.org/0317ekv86
60000238,Jackson State University,United States,https://ror.org/01ecnnp60
60000239,Université de Lausanne (UNIL),Switzerland,https://ror.org/019whta54
60000243,"Istituto Nazionale Di Geofisica E Vulcanologia, Rome",Italy,https://ror.org/00qps9a02
60000244,Hanwha,South Korea,https://ror.org/016xe6q07
60000248,"California State University, San Bernardino",United States,https://ror.org/02n651896
60000250,"Japan Ministry of Economy, Trade and Industry",Japan,https://ror.org/055tm7f07
60000251,IEEE,United States,https://ror.org/01n002310
60000256,Max Planck Institute for Informatics,Germany,https://ror.org/01w19ak89
60000260,St George Hospital,Australia,https://ror.org/02pk13h45
60000264,Nagoya University,Japan,https://ror.org/04chrp450
60000270,"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)",Germany,https://ror.org/048yn7628
60000273,Pontifícia Universidade Católica de São Paulo,Brazil,https://ror.org/00sfmx060
60000281,Champlain College,United States,https://ror.org/01hx6v225
60000283,Academy of Finland,Finland,https://ror.org/05k73zm37
60000292,Centre Hospitalier Universitaire de Nîmes,France,https://ror.org/0275ye937
60000297,Ioffe Institute,Russian Federation,https://ror.org/05dkdaa55
60000302,Instituto Politécnico de Castelo Branco,Portugal,https://ror.org/004s18446
60000305,Case Western Reserve University,United States,https://ror.org/051fd9666
60000308,Moscow Institute of Physics and Technology,Russian Federation,https://ror.org/00v0z9322
60000315,STUK - Radiation and Nuclear Safety Authority,Finland,https://ror.org/01fjw1d15
60000316,Srinakharinwirot University,Thailand,https://ror.org/04718hx42
60000317,Instituto Politcnico de Portalegre,Portugal,https://ror.org/05vnksv67
60000322,Temasek Polytechnic,Singapore,https://ror.org/03k1z9s75
60000328,Hospital Infantil de México Federico Gómez,Mexico,https://ror.org/00nzavp26
60000336,Kobe Shoin Women's University,Japan,https://ror.org/03bwsp312
60000338,Shanxi Medical University,China,https://ror.org/0265d1010
60000345,"Royal Botanic Gardens, Kew",United Kingdom,https://ror.org/00ynnr806
60000349,Emerson College,United States,https://ror.org/011xz5b94
60000356,University of Cape Town,South Africa,https://ror.org/03p74gp79
60000368,MRC Mitochondrial Biology Unit,United Kingdom,https://ror.org/01vdt8f48
60000371,Nebraska Wesleyan University,United States,https://ror.org/03xp4dz54
60000377,Universite de la Sorbonne Nouvelle Paris III,France,https://ror.org/01d8kr740
60000394,Waikato Institute of Technology,New Zealand,https://ror.org/02bjhj961
60000395,New Jersey Department of Health and Senior Services,United States,https://ror.org/03kmrjq19
60000396,Bowie State University,United States,https://ror.org/0567w8j84
60000401,University of Münster,Germany,https://ror.org/00pd74e08
60000402,Obihiro University of Agriculture and Veterinary Medicine,Japan,https://ror.org/02t9fsj94
60000409,Universidad Autónoma de Yucatán,Mexico,https://ror.org/032p1n739
60000411,Lander University,United States,https://ror.org/05eq86m59
60000414,"Birla Institute of Technology and Science, Pilani",India,https://ror.org/001p3jz28
60000415,Changzhi Medical College,China,https://ror.org/0340wst14
60000434,Universitatea de Vest din Timișoara,Romania,https://ror.org/0583a0t97
60000445,Institut Pasteur de Lille,France,https://ror.org/05k9skc85
60000456,Max Planck Institute of Molecular Cell Biology and Genetics,Germany,https://ror.org/05b8d3w18
60000457,National Institute of Biology Ljubljana,Slovenia,https://ror.org/03s5t0r17
60000461,SRI International,United States,https://ror.org/05s570m15
60000473,Rutgers University-Newark,United States,https://ror.org/05vt9qd57
60000474,Univerzita Hradec Králové,Czech Republic,https://ror.org/05k238v14
60000480,Truman State University,United States,https://ror.org/0396bvs97
60000481,Università degli Studi di Padova,Italy,https://ror.org/00240q980
60000485,Université de La Réunion,France,https://ror.org/005ypkf75
60000497,"California State University, Fullerton",United States,https://ror.org/02avqqw26
60000499,College of Saint Benedict and Saint John's University,United States,https://ror.org/00watgv28
60000501,General Motors,United States,https://ror.org/05addee68
60000508,University of Westminster,United Kingdom,https://ror.org/04ycpbx82
60000509,Universidade Federal do Rio Grande,Brazil,https://ror.org/05hpfkn88
60000512,Technische Hochschule Mittelhessen,Germany,https://ror.org/02qdc9985
60000520,Ramapo College of New Jersey,United States,https://ror.org/00hx57361
60000521,Wilfrid Laurier University,Canada,https://ror.org/00fn7gb05
60000525,Reinier de Graaf Hospital - SSDZ,Netherlands,https://ror.org/00wkhef66
60000536,"National Institute of Technology, Nagano College",Japan,https://ror.org/00kd5se19
60000551,Crown Research Institutes of New Zealand,New Zealand,https://ror.org/01141nq92
60000556,Oklahoma State University-Tulsa,United States,https://ror.org/045zgf584
60000566,"St. Martin Clinic, Nijmegen",Netherlands,https://ror.org/02qp3tb03
60000568,Spaulding Rehabilitation Hospital Network,United States,https://ror.org/011dvr318
60000574,Corning Incorporated,United States,https://ror.org/03v7zx932
60000578,Max Planck Institute for Mathematics,Germany,https://ror.org/02dh8ja68
60000580,CSIC - Instituto de Estructura de la Materia (IEM),Spain,https://ror.org/004nttc42
60000583,WU Vienna University of Economics and Business,Austria,https://ror.org/03yn8s215
60000590,Universidade Federal de Juiz de Fora,Brazil,https://ror.org/04yqw9c44
60000594,University of Applied Sciences Upper Austria,Austria,https://ror.org/03jqp6d56
60000602,Bemidji State University,United States,https://ror.org/01yjyvb35
60000608,Hospital Universitario Son Espases,Spain,https://ror.org/05jmd4043
60000617,Assiut University,Egypt,https://ror.org/01jaj8n65
60000621,Fryske Akademy - KNAW,Netherlands,https://ror.org/043c0p156
60000627,Urmia University,Iran,https://ror.org/032fk0x53
