Institution Name,Country Name,ROR ID
RMIT,Australia,https://ror.org/04ttjf776
RMIT University,Australia,https://ror.org/04ttjf776
Royal Melbourne Institute of Technology University,Australia,https://ror.org/04ttjf776
La Trobe University,Australia,https://ror.org/01rxfrp27
VU,Australia,https://ror.org/04j757h98
Victoria University,Australia,https://ror.org/04j757h98
New England University College of the University of Sydney,Australia,https://ror.org/04r659a56
UNE,Australia,https://ror.org/04r659a56
University of New England,Australia,https://ror.org/04r659a56
Griffith University,Australia,https://ror.org/02sc3r913
CQU,Australia,https://ror.org/023q4bk22
CQUniversity,Australia,https://ror.org/023q4bk22
Central Queensland University,Australia,https://ror.org/023q4bk22
UniSA,Australia,https://ror.org/01p93h210
University of South Australia,Australia,https://ror.org/01p93h210
Bond University,Australia,https://ror.org/006jxzx88
CSU,Australia,https://ror.org/00wfvh315
Charles Sturt University,Australia,https://ror.org/00wfvh315
Federation University,Australia,https://ror.org/05qbzwv83
Burnet Institute,Australia,https://ror.org/05ktbsm52
Mater Research,Australia,https://ror.org/00nx6aa03
SVI,Australia,https://ror.org/02k3cxs74
St Vincents Institute of Medical Research,Australia,https://ror.org/02k3cxs74
HRI,Australia,https://ror.org/046fa4y88
The Heart Research Institute,Australia,https://ror.org/046fa4y88
UMHRI,Greece,https://ror.org/02d439m40
University Mental Health Research Institute,Greece,https://ror.org/02d439m40
Rolls-Royce,United Kingdom,https://ror.org/04h08p482
BP,United Kingdom,https://ror.org/01zctcs90
BP Amoco,United Kingdom,https://ror.org/01zctcs90
The British Petroleum Company,United Kingdom,https://ror.org/01zctcs90
Rio Tinto,United Kingdom,https://ror.org/05m7zw681
Arup,United States,https://ror.org/03awtex73
Arup Group,United States,https://ror.org/03awtex73
Ove N. Arup Consulting Engineers,United States,https://ror.org/03awtex73
BT Group,United Kingdom,https://ror.org/00kv9pj15
British Telecommunications,United Kingdom,https://ror.org/00kv9pj15
Mater Health Services,Australia,https://ror.org/03mjtdk61
Pilkington,United Kingdom,https://ror.org/04yyp8h20
Trojan Technologies,Canada,https://ror.org/022rkxt86
The Alfred,Australia,https://ror.org/01wddqe20
The Alfred Hospital,Australia,https://ror.org/01wddqe20
Washington State Department of Health,United States,https://ror.org/02x2akc96
WCH,Australia,https://ror.org/03kwrfk72
Women's and Children's Hospital,Australia,https://ror.org/03kwrfk72
Xstrata,United Kingdom,https://ror.org/037mpqg03
Teck,Canada,https://ror.org/05cggb038
Teck Cominco,Canada,https://ror.org/05cggb038
Teck Resources,Canada,https://ror.org/05cggb038
HNE Health,Australia,https://ror.org/050b31k83
Hunter New England Health,Australia,https://ror.org/050b31k83
Hunter New England Local Health District,Australia,https://ror.org/050b31k83
Cancer Council Victoria,Australia,https://ror.org/023m51b03
BASF,Germany,https://ror.org/01q8f6705
Baden Aniline and Soda Factory,Germany,https://ror.org/01q8f6705
Badische Anilin- und Soda-Fabrik,Germany,https://ror.org/01q8f6705
Hypres,United States,https://ror.org/03t40cz74
Boys Town,United States,https://ror.org/03ebg0v16
Father Flanagan's Boys' Home,United States,https://ror.org/03ebg0v16
Girls and Boys Tow,United States,https://ror.org/03ebg0v16
OSIS,Australia,https://ror.org/041b40q78
Olympus,Australia,https://ror.org/041b40q78
Olympus Soft Imaging Solutions,Australia,https://ror.org/041b40q78
UK Coal,United Kingdom,https://ror.org/04jc0r179
UK Coal Production Ltd,United Kingdom,https://ror.org/04jc0r179
NRI,Czechia,https://ror.org/05gwtvp11
Nuclear Research Institute Rez,Czechia,https://ror.org/05gwtvp11
UJV Řež,Czechia,https://ror.org/05gwtvp11
Ústav Jaderného Výzkumu Řež,Czechia,https://ror.org/05gwtvp11
Austrian Academy of Sciences,Austria,https://ror.org/03anc3s24
Avstrijska Akademija Znanosti,Austria,https://ror.org/03anc3s24
OAW,Austria,https://ror.org/03anc3s24
Osztrák Tudományos Akadémia,Austria,https://ror.org/03anc3s24
Österreichische Akademie der Wissenschaften,Austria,https://ror.org/03anc3s24
AIT,Austria,https://ror.org/04knbh022
ARC,Austria,https://ror.org/04knbh022
Austrian Institute of Technology,Austria,https://ror.org/04knbh022
Austrian Research Centers,Austria,https://ror.org/04knbh022
OUC,China,https://ror.org/04rdtx186
Ocean University of China,China,https://ror.org/04rdtx186
Zhōngguó Hǎiyáng Dàxué,China,https://ror.org/04rdtx186
中国海洋大学,China,https://ror.org/04rdtx186
LJMU,United Kingdom,https://ror.org/04zfme737
Liverpool John Moores University,United Kingdom,https://ror.org/04zfme737
"Prifysgol John Moores, Lerpwl",United Kingdom,https://ror.org/04zfme737
University of Piraeus,Greece,https://ror.org/02qs84g94
Université du pirée,Greece,https://ror.org/02qs84g94
Πανεπιστήμιο Πειραιώς,Greece,https://ror.org/02qs84g94
Politecnico di Bari,Italy,https://ror.org/03c44v465
Polytechnic University of Bari,Italy,https://ror.org/03c44v465
École Polytechnique de Bari,Italy,https://ror.org/03c44v465
Groningen University Hospital,Netherlands,https://ror.org/03cv38k47
UMCG,Netherlands,https://ror.org/03cv38k47
Universitair Medisch Centrum Groningen,Netherlands,https://ror.org/03cv38k47
University Medical Center Groningen,Netherlands,https://ror.org/03cv38k47
PIK,Germany,https://ror.org/03e8s1d88
Potsdam Institute for Climate Impact Research,Germany,https://ror.org/03e8s1d88
Potsdam-Institut für Klimafolgenforschung,Germany,https://ror.org/03e8s1d88
Prifysgol Nottingham,United Kingdom,https://ror.org/01ee9ar58
University of Nottingham,United Kingdom,https://ror.org/01ee9ar58
Institute of Transport Economics,Norway,https://ror.org/04p2pa451
Transportøkonomisk institutt,Norway,https://ror.org/04p2pa451
TØI,Norway,https://ror.org/04p2pa451
ITE,Poland,https://ror.org/02khfkr46
Institute of Electron Technology,Poland,https://ror.org/02khfkr46
Instytut został utworzony w Warszawie,Poland,https://ror.org/02khfkr46
IPPT,Poland,https://ror.org/03fs4aq04
IPPT PAN,Poland,https://ror.org/03fs4aq04
Institute of Fundamental Technological Research,Poland,https://ror.org/03fs4aq04
Instytut Podstawowych Problemów Techniki,Poland,https://ror.org/03fs4aq04
Politecnico di Milano,Italy,https://ror.org/01nffqt88
Polytechnic University of Milan,Italy,https://ror.org/01nffqt88
École Polytechnique de Milan,Italy,https://ror.org/01nffqt88
Universitat de Nàpols Frederic II,Italy,https://ror.org/05290cv24
University of Naples Federico II,Italy,https://ror.org/05290cv24
Università degli Studi di Napoli Federico II,Italy,https://ror.org/05290cv24
Universität Neapel Federico II,Italy,https://ror.org/05290cv24
Université de Naples - Frédéric-II,Italy,https://ror.org/05290cv24
University of Portsmouth,United Kingdom,https://ror.org/03ykbk197
EMBL,Germany,https://ror.org/03mstc592
European Molecular Biology Laboratory,Germany,https://ror.org/03mstc592
Europäisches Laboratorium für Molekularbiologie,Germany,https://ror.org/03mstc592
Groupe PSA,France,https://ror.org/04zgvy449
PSA,France,https://ror.org/04zgvy449
PSA Peugeot Citroën,France,https://ror.org/04zgvy449
