Scopus ID,Primary Org Name,Primary Org City,Primary Org State,Country Name
60000009,Villanova University,Villanova,PA,United States
60000011,Saitama Institute of Technology,Fukaya,Saitama,Japan
60000015,Lusófona University,Lisbon,Lisbon,Portugal
60000021,Atatürk Üniversitesi,Erzurum,Erzurum,Turkey
60000027,KLA Corporation,Milpitas,CA,United States
60000036,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brazil
60000050,Royal College of Surgeons in Ireland,Dublin,Leinster,Ireland
60000056,Siberian State University of Telecommunications and Informatics Science,Novosibirsk,Novosibirsk Oblast,Russian Federation
60000060,Lehigh University,Bethlehem,PA,United States
60000061,Sant Gadge Baba Amravati University,Amravati,MH,India
60000062,Qinghai Institute of Salt Lakes,Xining,Qinghai,China
60000071,Calvin University,Grand Rapids,MI,United States
60000078,Guru Nanak Dev University,Amritsar,PB,India
60000081,Irkutsk State University,Irkutsk,Irkutsk Oblast,Russian Federation
60000082,National University of Ireland,Dublin,Leinster,Ireland
60000086,HZDR - Helmholtz-Zentrum Dresden-Rossendorf,Dresden,Sachsen,Germany
60000087,Hadassah University Medical Centre,Jerusalem,,Israel
60000099,Ibaraki University,Mito,Ibaraki,Japan
60000100,Institut Municipal d'Investigacio Medica,Barcelona,Barcelona,Spain
60000102,Fisk University,Nashville,TN,United States
60000108,Observatoire Astronomique de Strasbourg,Strasbourg,Grand Est,France
60000112,University of East Anglia,Norwich,Norfolk,United Kingdom
60000130,Universidad de Murcia,Murcia,Murcia,Spain
60000131,National Defence and the Canadian Forces,Ottawa,ON,Canada
60000134,Langara College,Vancouver,BC,Canada
60000135,University of North Florida,Jacksonville,FL,United States
60000137,"Postgraduate Institute of Medical Education & Research, Chandigarh",Chandigarh,,India
60000139,Tuen Mun Hospital,Hong Kong,,China
60000141,Monmouth College,Monmouth,IL,United States
60000142,Konkuk University,Seoul,,South Korea
60000144,Bowdoin College,Brunswick,ME,United States
60000145,Université Libre de Bruxelles,Brussels,BRU,Belgium
60000153,Bishop's Université,Sherbrooke,QC,Canada
60000159,Yazd University,Yazd,Yazd,Iran
60000161,CSIC - Estación Experimental de Zonas Áridas (EEZA),Almeria,Almeria,Spain
60000163,"International Institute of Information Technology, Hyderabad",Hyderabad,TG,India
60000164,Troy University,Troy,AL,United States
60000174,Shaanxi Normal University,Xi'an,Shaanxi,China
60000179,École Normale Supérieure,Paris,Ile-de-France,France
60000190,Walmart Inc.,Bentonville,AR,United States
60000195,Groupe Hospitalier Paris Saint-Joseph,Paris,,France
60000196,Chengdu University of Traditional Chinese Medicine,Chengdu,Sichuan,China
60000202,Ryukoku University,Kyoto,Kyoto,Japan
60000203,Royal Netherlands Meteorological Institute,De Bilt,Utrecht,Netherlands
60000210,Japan Weather Association,Tokyo,Tokyo,Japan
60000213,Rhodes College,Memphis,TN,United States
60000221,University of Colorado Boulder,Boulder,CO,United States
60000231,Süleyman Demirel Üniversitesi,Isparta,Isparta,Turkey
60000237,University of Bahrain,Zallaq,,Bahrain
60000238,Jackson State University,Jackson,MS,United States
60000239,Université de Lausanne (UNIL),Lausanne,VD,Switzerland
60000243,"Istituto Nazionale Di Geofisica E Vulcanologia, Rome",Rome,Lazio,Italy
60000244,Hanwha,Seoul,,South Korea
60000248,"California State University, San Bernardino",San Bernardino,CA,United States
60000250,"Japan Ministry of Economy, Trade and Industry",Tokyo,Tokyo,Japan
60000251,IEEE,New York,NY,United States
60000256,Max Planck Institute for Informatics,Saarbrucken,Saarland,Germany
60000260,St George Hospital,Sydney,NSW,Australia
60000264,Nagoya University,Nagoya,Aichi,Japan
60000270,"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)",Wernigerode,Sachsen-Anhalt,Germany
60000273,Pontifícia Universidade Católica de São Paulo,Sao Paulo,SP,Brazil
60000281,Champlain College,Burlington,VT,United States
60000283,Academy of Finland,Helsinki,,Finland
60000292,Centre Hospitalier Universitaire de Nîmes,Nimes,Occitanie,France
60000297,Ioffe Institute,Saint Petersburg,,Russian Federation
60000302,Instituto Politécnico de Castelo Branco,Castelo Branco,,Portugal
60000305,Case Western Reserve University,Cleveland,OH,United States
60000308,Moscow Institute of Physics and Technology,Dolgoprudny,Moscow Oblast,Russian Federation
60000315,STUK - Radiation and Nuclear Safety Authority,Helsinki,,Finland
60000316,Srinakharinwirot University,Bangkok,,Thailand
60000317,Instituto Politcnico de Portalegre,Portalegre,,Portugal
60000322,Temasek Polytechnic,Singapore City,,Singapore
60000328,Hospital Infantil de México Federico Gómez,Mexico,DF,Mexico
60000336,Kobe Shoin Women's University,Kobe,Hyogo,Japan
60000338,Shanxi Medical University,Taiyuan,Shanxi,China
60000345,"Royal Botanic Gardens, Kew",Richmond,Surrey,United Kingdom
60000349,Emerson College,Boston,MA,United States
60000356,University of Cape Town,Cape Town,Western Cape,South Africa
60000368,MRC Mitochondrial Biology Unit,Cambridge,Cambridgeshire,United Kingdom
60000371,Nebraska Wesleyan University,Lincoln,NE,United States
60000377,Universite de la Sorbonne Nouvelle Paris III,Paris,,France
60000394,Waikato Institute of Technology,Hamilton,,New Zealand
60000395,New Jersey Department of Health and Senior Services,Trenton,NJ,United States
60000396,Bowie State University,Bowie,MD,United States
60000401,University of Münster,Munster,Nordrhein-Westfalen,Germany
60000402,Obihiro University of Agriculture and Veterinary Medicine,Obihiro,Hokkaido,Japan
60000409,Universidad Autónoma de Yucatán,Merida,YUC,Mexico
60000411,Lander University,Greenwood,SC,United States
60000414,"Birla Institute of Technology and Science, Pilani",Pilani,RJ,India
60000415,Changzhi Medical College,Changzhi,Shanxi,China
60000434,Universitatea de Vest din Timișoara,Timisoara,Timis,Romania
60000445,Institut Pasteur de Lille,Lille,Hauts-de-France,France
60000456,Max Planck Institute of Molecular Cell Biology and Genetics,Dresden,Sachsen,Germany
60000457,National Institute of Biology Ljubljana,Ljubljana,,Slovenia
60000461,SRI International,Menlo Park,CA,United States
60000473,Rutgers University-Newark,Newark,NJ,United States
60000474,Univerzita Hradec Králové,Hradec Kralove,,Czech Republic
60000480,Truman State University,Kirksville,MO,United States
60000481,Università degli Studi di Padova,Padua,PD,Italy
60000485,Université de La Réunion,Saint-Denis,Reunion,France
60000497,"California State University, Fullerton",Fullerton,CA,United States
60000499,College of Saint Benedict and Saint John's University,Collegeville,MN,United States
60000501,General Motors,Detroit,MI,United States
60000508,University of Westminster,London,,United Kingdom
60000509,Universidade Federal do Rio Grande,Rio Grande,RS,Brazil
60000512,Technische Hochschule Mittelhessen,Giessen,Hessen,Germany
60000520,Ramapo College of New Jersey,Mahwah,NJ,United States
60000521,Wilfrid Laurier University,Waterloo,ON,Canada
60000525,Reinier de Graaf Hospital - SSDZ,Delft,,Netherlands
60000536,"National Institute of Technology, Nagano College",Nagano,Nagano,Japan
60000551,Crown Research Institutes of New Zealand,New Zealand,,New Zealand
60000556,Oklahoma State University-Tulsa,Tulsa,OK,United States
60000566,"St. Martin Clinic, Nijmegen",Nijmegen,,Netherlands
60000568,Spaulding Rehabilitation Hospital Network,Boston,MA,United States
60000574,Corning Incorporated,Corning,NY,United States
60000578,Max Planck Institute for Mathematics,Bonn,Nordrhein-Westfalen,Germany
60000580,CSIC - Instituto de Estructura de la Materia (IEM),Madrid,,Spain
60000583,WU Vienna University of Economics and Business,Vienna,Vienna,Austria
60000590,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brazil
60000594,University of Applied Sciences Upper Austria,Wels,Upper Austria,Austria
60000602,Bemidji State University,Bemidji,MN,United States
60000608,Hospital Universitario Son Espases,Palma,Balearic Islands,Spain
60000617,Assiut University,Asyut,Asyut,Egypt
60000621,Fryske Akademy - KNAW,Leeuwarden,,Netherlands
60000627,Urmia University,Urmia,,Iran
60000628,Klinikum Bayreuth GmbH,Bayreuth,Bayern,Germany
60000630,Materials Center Leoben Forschung GmbH,Leoben,Styria,Austria
60000636,Universidad San Sebastián,Santiago,RM,Chile
60000644,Semmelweis Hospital,Miskolc,,Hungary
60000645,Simula Research Laboratory,Barum,Akershus,Norway
60000658,Universidad Nacional de Córdoba,Cordoba,Cordoba,Argentina
60000661,The Babraham Institute,Cambridge,Cambridgeshire,United Kingdom
60000664,Queensland Health,Brisbane,QLD,Australia
60000673,Environment and Climate Change Canada,Gatineau,QC,Canada
60000674,National Institute of Technology Kurukshetra,Kurukshetra,HR,India
