ArXiv Id,Ground Truth ROR IDs,Extracted ROR IDs,Missing ROR IDs,Extra ROR IDs
2201.00001v3,"{'https://ror.org/00f54p054', 'https://ror.org/04z1nmb83'}",{'https://ror.org/00f54p054'},{'https://ror.org/04z1nmb83'},set()
2201.00002v1,"{'https://ror.org/05g3dte14', 'https://ror.org/05sqd3t97'}",{'https://ror.org/013meh722'},"{'https://ror.org/05g3dte14', 'https://ror.org/05sqd3t97'}",{'https://ror.org/013meh722'}
2201.00003v1,"{'https://ror.org/00yhnba62', 'https://ror.org/02khfkr46', 'https://ror.org/03erkev52'}","{'https://ror.org/00yhnba62', 'https://ror.org/00pdej676', 'https://ror.org/03erkev52'}",{'https://ror.org/02khfkr46'},{'https://ror.org/00pdej676'}
2201.00004v1,"{'https://ror.org/00ysfqy60', 'https://ror.org/00r9g7t11', 'https://ror.org/00jmfr291'}","{'https://ror.org/00ysfqy60', 'https://ror.org/00jmfr291'}",{'https://ror.org/00r9g7t11'},set()
2201.00008v3,"{'https://ror.org/00se2k293', 'https://ror.org/03e29r284', 'https://ror.org/023rhb549', 'https://ror.org/02zhqgq86'}","{'https://ror.org/00se2k293', 'https://ror.org/023rhb549', 'https://ror.org/02zhqgq86'}",{'https://ror.org/03e29r284'},set()
2201.00009v3,"{'https://ror.org/00k642b80', 'https://ror.org/02e7b5302'}",{'https://ror.org/02e7b5302'},{'https://ror.org/00k642b80'},set()
2201.00010v1,"{'https://ror.org/030sjb889', 'https://ror.org/04cdn2797', 'https://ror.org/00cwrns71', 'https://ror.org/049tgcd06'}","{'https://ror.org/04cdn2797', 'https://ror.org/049tgcd06'}","{'https://ror.org/030sjb889', 'https://ror.org/00cwrns71'}",set()
2201.00011v1,"{'https://ror.org/00hn7w693', 'https://ror.org/01yxwrh59', 'https://ror.org/01ee9ar58'}","{'https://ror.org/00hn7w693', 'https://ror.org/034z67559'}","{'https://ror.org/01yxwrh59', 'https://ror.org/01ee9ar58'}",{'https://ror.org/034z67559'}
2201.00013v1,"{'https://ror.org/05ynxx418', 'https://ror.org/040wg7k59'}",{'https://ror.org/040wg7k59'},{'https://ror.org/05ynxx418'},set()
2201.00014v1,"{'https://ror.org/009pwww24', 'https://ror.org/05qbk4x57', 'https://ror.org/0090r4d87', 'https://ror.org/034t30j35', 'https://ror.org/03vs3wt56', 'https://ror.org/05t8y2r12'}","{'https://ror.org/05vt9qd57', 'https://ror.org/0090r4d87', 'https://ror.org/034t30j35'}","{'https://ror.org/009pwww24', 'https://ror.org/05qbk4x57', 'https://ror.org/03vs3wt56', 'https://ror.org/05t8y2r12'}",{'https://ror.org/05vt9qd57'}
2201.00015v1,"{'https://ror.org/0557b9y08', 'https://ror.org/0220qvk04'}",{'https://ror.org/013meh722'},"{'https://ror.org/0557b9y08', 'https://ror.org/0220qvk04'}",{'https://ror.org/013meh722'}
2201.00016v1,"{'https://ror.org/03taz7m60', 'https://ror.org/00wk2mp56', 'https://ror.org/00ntfnx83'}","{'https://ror.org/00wk2mp56', 'https://ror.org/00ntfnx83'}",{'https://ror.org/03taz7m60'},set()
2201.00018v1,"{'https://ror.org/03xejxm22', 'https://ror.org/052gg0110', 'https://ror.org/00b30xv10', 'https://ror.org/005ta0471', 'https://ror.org/01ynf4891'}","{'https://ror.org/00b30xv10', 'https://ror.org/04w4m6z96', 'https://ror.org/052gg0110'}","{'https://ror.org/03xejxm22', 'https://ror.org/005ta0471', 'https://ror.org/01ynf4891'}",{'https://ror.org/04w4m6z96'}
2201.00019v2,"{'https://ror.org/02s4gkg68', 'https://ror.org/03a5qrr21', 'https://ror.org/05gq02987', 'https://ror.org/01x2x1522', 'https://ror.org/00mmn6b08', 'https://ror.org/0208vgz68', 'https://ror.org/01bj3aw27', 'https://ror.org/01rxvg760', 'https://ror.org/040af2s02', 'https://ror.org/01jjhfr75', 'https://ror.org/036jqmy94', 'https://ror.org/05n3dz165', 'https://ror.org/0220qvk04', 'https://ror.org/00d7xrm67', 'https://ror.org/047s2c258', 'https://ror.org/01ggx4157', 'https://ror.org/020hgte69', 'https://ror.org/05qwgg493', 'https://ror.org/01r0c1p88'}","{'https://ror.org/02s4gkg68', 'https://ror.org/0220qvk04', 'https://ror.org/047s2c258', 'https://ror.org/03a5qrr21', 'https://ror.org/01mm16571', 'https://ror.org/05gq02987', 'https://ror.org/05qwgg493', 'https://ror.org/01rxvg760', 'https://ror.org/01faaaf77', 'https://ror.org/040af2s02', 'https://ror.org/036jqmy94', 'https://ror.org/03anxx281'}","{'https://ror.org/020hgte69', 'https://ror.org/01x2x1522', 'https://ror.org/00mmn6b08', 'https://ror.org/0208vgz68', 'https://ror.org/01bj3aw27', 'https://ror.org/01jjhfr75', 'https://ror.org/01r0c1p88', 'https://ror.org/00d7xrm67', 'https://ror.org/05n3dz165', 'https://ror.org/01ggx4157'}","{'https://ror.org/01faaaf77', 'https://ror.org/03anxx281', 'https://ror.org/01mm16571'}"
2201.00020v3,"{'https://ror.org/036wvzt09', 'https://ror.org/00zgdb249', 'https://ror.org/02e7b5302'}",{'https://ror.org/02e7b5302'},"{'https://ror.org/036wvzt09', 'https://ror.org/00zgdb249'}",set()
2201.00021v3,"{'https://ror.org/01hhn8329', 'https://ror.org/02ma4wv74', 'https://ror.org/034t30j35', 'https://ror.org/01rxvg760', 'https://ror.org/021nxhr62', 'https://ror.org/04jvemc39', 'https://ror.org/058pyyv44', 'https://ror.org/05ar8rn06', 'https://ror.org/01mv9t934'}","{'https://ror.org/01pjxkf30', 'https://ror.org/02ma4wv74', 'https://ror.org/034t30j35', 'https://ror.org/04ynn1b95', 'https://ror.org/04t4pcw17', 'https://ror.org/01rxvg760', 'https://ror.org/04m24yn62', 'https://ror.org/05ar8rn06'}","{'https://ror.org/01hhn8329', 'https://ror.org/021nxhr62', 'https://ror.org/04jvemc39', 'https://ror.org/058pyyv44', 'https://ror.org/01mv9t934'}","{'https://ror.org/04ynn1b95', 'https://ror.org/04t4pcw17', 'https://ror.org/01pjxkf30', 'https://ror.org/04m24yn62'}"
2201.00022v2,"{'https://ror.org/03qxff017', 'https://ror.org/046rm7j60', 'https://ror.org/00pjdza24'}","{'https://ror.org/04wnheq77', 'https://ror.org/046rm7j60', 'https://ror.org/00pjdza24'}",{'https://ror.org/03qxff017'},{'https://ror.org/04wnheq77'}
2201.00023v1,"{'https://ror.org/05j3snm48', 'https://ror.org/02be6w209', 'https://ror.org/02n742c10', 'https://ror.org/005ta0471', 'https://ror.org/004fze387'}","{'https://ror.org/0409c3r50', 'https://ror.org/05j3snm48'}","{'https://ror.org/004fze387', 'https://ror.org/02n742c10', 'https://ror.org/005ta0471', 'https://ror.org/02be6w209'}",{'https://ror.org/0409c3r50'}
2201.00025v2,"{'https://ror.org/034t30j35', 'https://ror.org/014weej12', 'https://ror.org/03v8tnc06'}","{'https://ror.org/014weej12', 'https://ror.org/034t30j35'}",{'https://ror.org/03v8tnc06'},set()
2201.00028v1,"{'https://ror.org/01111rn36', 'https://ror.org/035b05819', 'https://ror.org/012ajp527'}","{'https://ror.org/01111rn36', 'https://ror.org/035b05819'}",{'https://ror.org/012ajp527'},set()
2201.00029v1,"{'https://ror.org/00m2s0z68', 'https://ror.org/007dga614'}","{'https://ror.org/00b30xv10', 'https://ror.org/007dga614'}",{'https://ror.org/00m2s0z68'},{'https://ror.org/00b30xv10'}
2201.00030v2,"{'https://ror.org/03cqe8w59', 'https://ror.org/01tjs6929'}",{'https://ror.org/01t466c14'},"{'https://ror.org/03cqe8w59', 'https://ror.org/01tjs6929'}",{'https://ror.org/01t466c14'}
2201.00031v1,"{'https://ror.org/0447fe631', 'https://ror.org/03cs53d16', 'https://ror.org/03ar0mv07', 'https://ror.org/03f78hn46'}",{'https://ror.org/04wbsq162'},"{'https://ror.org/0447fe631', 'https://ror.org/03cs53d16', 'https://ror.org/03ar0mv07', 'https://ror.org/03f78hn46'}",{'https://ror.org/04wbsq162'}
